,cluster,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,LastPurchase,FirstPurchase,size
0,7.0,2.1774891774891776,193.2252813852814,316.7700865800866,245.9416102693603,578.8913419913416,57.57226780856875,18.055220442764963,10.917728057136154,7.424460660152055,6.030323031377993,99.5108225108225,167.87878787878788,231
1,8.0,2.437362637362637,214.55610989011015,327.0290131868132,267.82045366000096,690.9388373626379,12.602321346668612,57.48203625333412,12.711179710114536,9.426896554473338,7.780837736602388,103.14285714285714,173.5010989010989,455
2,0.0,2.993377483443709,203.74437086092723,401.5938410596027,292.6198818135506,1016.6555960264899,6.9030586517556785,14.859203706685536,60.690720116660046,10.388263827240493,7.158753697658204,101.34437086092716,198.64238410596028,302
3,4.0,2.7713754646840147,200.76691635687726,354.65750929368073,264.47373260705007,784.5328085501861,4.936923923256743,11.414943045415404,11.194383983090592,61.1667527945725,11.297484806335,114.89219330855019,189.0185873605948,538
4,3.0,2.1786743515850144,213.4432853025936,359.78279538904883,275.47063592344625,712.344610951008,6.499487860549953,13.856292806289723,14.265233861293398,16.970152081210905,48.45347089828558,106.61671469740634,168.61671469740634,347
5,1.0,4.263758389261745,206.48801409395992,513.6944771812085,339.615058130661,1530.9458261744942,14.367150571230004,26.23437201831609,22.495668852261456,20.1570868431922,16.75170421964618,75.93020134228188,205.47785234899328,1490
6,2.0,2.225,988.5490999999997,1522.1873549999987,1216.976474379352,3101.142555,12.24893838648955,26.318096341500024,21.512815979029924,22.927130910635906,16.993355865384647,90.08,148.82,200
7,9.0,1.6666666666666667,3480.920833333334,3966.8125000000005,3700.139305555556,5949.600000000001,22.890735930889594,20.102624067681205,13.322061584011637,28.513408919971084,15.171169497446465,68.16666666666667,132.58333333333334,12
8,5.0,56.31818181818182,26.213636363636365,2227.9727272727273,503.4025187535817,27110.887727272722,10.90819727402559,20.389455557157433,26.72114176123092,26.02139307721468,15.974691126788677,17.5,298.77272727272725,22
9,6.0,22.90909090909091,385.75272727272727,16513.428181818184,4601.666145913797,83676.57363636362,6.520520318532342,20.20676681770701,28.164709783000976,27.294113576915308,17.81388950384437,41.0,271.8181818181818,11
